mt:ATPase6
mt:ATPase8
mt:CoI
mt:CoII
mt:CoIII
mt:Cyt-b
mt:ND1
mt:ND2
mt:ND3
mt:ND4L
mt:ND5
mt:ND6
mt:lrRNA
mt:srRNA
mt:tRNA:Ala-TGC
mt:tRNA:Cys-GCA
mt:tRNA:Asp-GTC
mt:tRNA:Glu-TTC
mt:tRNA:Phe-GAA
mt:tRNA:Gly-TCC
mt:tRNA:His-GTG
mt:tRNA:Ile-GAT
mt:tRNA:Lys-CTT
mt:tRNA:Leu-TAG
mt:tRNA:Leu-TAA
mt:tRNA:Met-CAT
mt:tRNA:N
mt:tRNA:Pro-TGG
mt:tRNA:Gln-TTG
mt:tRNA:Arg-TCG
mt:tRNA:Ser-GCT
mt:tRNA:Ser-TGA
mt:tRNA:Thr-TGT
mt:tRNA:Val-TAC
mt:tRNA:Trp-TCA
mt:tRNA:Tyr-GTA
mt:ND4
