mRpL4
tko
mRpL12
mRpL47
mRpL16
CG4882
CG14817
bonsai
mRpL18
mRpL50
mRpL30
mRpL49
mRpL38
mRpS25
mRpL3
mRpS30
mRpL22
mRpL10
mRpL48
mRpS2
mRpL24
mRpL28
mRpL51
mRpS7
CG6094
mRpL13
mRpS18B
mRpL52
mRpL42
CG4679
mRpS16
mRpL41
mRpS28
mRpL54
mRpS29
mRpL43
mRpS17
mRpL17
mRpL46
mRpL23
mRpS35
mRpS6
mRpL2
mRpL20
mRpL39
mRpS31
mRpS26
mRpL21
mRpL15
CRIF
mRpL44
mRpS9
mRpL1
mRpL19
mRpL40
mRpL11
mRpS10
mRpL9
mRpS33
mRpS11
mRpL55
mRpL35
mRpS24
mRpS22
mRpS18C
mRpL32
mRpL14
CG12848
mRpL33
mRpL36
mRpS14
mRpS21
mRpL53
mRpS18A
mRpL27
mRpL34
mRpS23
mRpL37
mRpL45
mRpS34
mRpS5
