5SrRNA:CR33353
5SrRNA:CR33354
5SrRNA:CR33355
5SrRNA-Psi:CR33356
5SrRNA:CR33357
5SrRNA:CR33358
5SrRNA:CR33359
5SrRNA:CR33360
5SrRNA:CR33361
5SrRNA:CR33362
5SrRNA-Psi:CR33363
5SrRNA:CR33364
5SrRNA:CR33365
5SrRNA:CR33366
5SrRNA:CR33367
5SrRNA:CR33368
5SrRNA:CR33369
5SrRNA:CR33370
5SrRNA-Psi:CR33371
5SrRNA:CR33372
5SrRNA:CR33373
5SrRNA:CR33374
5SrRNA:CR33375
5SrRNA:CR33376
5SrRNA:CR33377
5SrRNA:CR33378
5SrRNA:CR33379
5SrRNA:CR33380
5SrRNA:CR33381
5SrRNA:CR33382
5SrRNA:CR33383
5SrRNA:CR33384
5SrRNA:CR33385
5SrRNA:CR33386
5SrRNA:CR33387
5SrRNA:CR33388
5SrRNA:CR33389
5SrRNA:CR33390
5SrRNA:CR33391
5SrRNA:CR33392
5SrRNA:CR33393
5SrRNA:CR33394
5SrRNA:CR33395
5SrRNA:CR33396
5SrRNA:CR33397
5SrRNA:CR33398
5SrRNA:CR33399
5SrRNA:CR33400
5SrRNA:CR33401
5SrRNA:CR33402
5SrRNA:CR33403
5SrRNA:CR33404
5SrRNA:CR33405
5SrRNA:CR33406
5SrRNA:CR33407
5SrRNA:CR33408
5SrRNA:CR33409
5SrRNA:CR33410
5SrRNA:CR33411
5SrRNA:CR33412
5SrRNA:CR33413
5SrRNA:CR33414
5SrRNA:CR33415
5SrRNA-Psi:CR33416
5SrRNA:CR33417
5SrRNA:CR33418
5SrRNA:CR33419
5SrRNA:CR33420
5SrRNA:CR33421
5SrRNA:CR33422
5SrRNA:CR33423
5SrRNA:CR33424
5SrRNA:CR33425
5SrRNA:CR33426
5SrRNA:CR33427
5SrRNA:CR33428
5SrRNA:CR33429
5SrRNA:CR33430
5SrRNA:CR33431
5SrRNA:CR33432
5SrRNA:CR33433
5SrRNA:CR33434
5SrRNA:CR33435
5SrRNA:CR33436
5SrRNA:CR33437
5SrRNA:CR33438
5SrRNA:CR33439
5SrRNA:CR33440
5SrRNA:CR33441
5SrRNA:CR33442
5SrRNA:CR33443
5SrRNA:CR33444
5SrRNA:CR33445
5SrRNA:CR33446
5SrRNA:CR33447
5SrRNA:CR33448
5SrRNA:CR33449
5SrRNA:CR33450
5SrRNA:CR33451
5SrRNA:CR33452
28SrRNA-Psi:CR40596
2SrRNA-Psi:CR40677
28SrRNA-Psi:CR40741
18SrRNA:CR41548
18SrRNA-Psi:CR41602
28SrRNA-Psi:CR41609
5.8SrRNA:CR40454
2SrRNA:CR45836
28SrRNA:CR45837
18SrRNA:CR45838
5.8SrRNA:CR45839
2SrRNA:CR45840
18SrRNA:CR45841
5.8SrRNA:CR45842
2SrRNA:CR45843
28SrRNA:CR45844
28SrRNA-Psi:CR45848
5.8SrRNA-Psi:CR45849
2SrRNA-Psi:CR45850
28SrRNA-Psi:CR45851
5.8SrRNA:CR45852
28SrRNA-Psi:CR45853
5.8SrRNA-Psi:CR45854
28SrRNA-Psi:CR45855
5.8SrRNA-Psi:CR45857
2SrRNA-Psi:CR45858
28SrRNA-Psi:CR45859
28SrRNA-Psi:CR45860
18SrRNA-Psi:CR45861
28SrRNA-Psi:CR45862
5.8SrRNA-Psi:CR45863
2SrRNA:CR45864
