RpLP0
RpL36
RpS5a
RpLP1
RpS3
RpL32
RpLP2
RpL4
sta
RpL40
RpS27A
RpS14a
RpS14b
RpS2
RpS17
RpL7
RpL23
RpS15Aa
RpS13
RpS9
RpL18A
RpS18
RpS19a
RpL13
RpS4
RpL11
RpL7A
RpL22
RpS21
RpL9
RpL29
RpS3A
RpL14
RpS20
Rack1
RpL3
RpL39
RpL10
RpL23A
RpS10a
RpL15
RpL35
RpL17
RpS28b
RpL37-1
RpL36A
RpL7-like
RpL24
RpL21
RpLP0-like
RpS15Ab
RpS11
RpS23
RpS15
RpS16
RpL37-2
RpL22-like
RpL12
RpL28
RpL18
RpL10Ab
RpL26
RpL35A
RpL13A
RpL34b
RpL24-like
RpS5b
RpL10Aa
RpS30
RpS19b
RpS27
RpL27
RpL34a
RpS8
RpS28a
RpS7
RpL6
RpL38
RpL5
RpL41
RpS28-like
RpS25
RpL30
RpS6
RpS24
RpS26
RpS29
RpL8
RpL37A
RpS10b
RpL27A
RpL31
RpL19
RpS12
